1, 47722.234858
2, 47722.253201
3, 47722.287023
4, 47722.321420
5, 47722.357031
6, 47722.387584
7, 47722.421893
8, 47722.454733
9, 47722.490068
10, 47722.522121
11, 47722.555408
12, 47722.589742
13, 47722.623166
14, 47722.656938
15, 47722.690008
16, 47722.724072
17, 47722.758005
18, 47722.791395
19, 47722.824426
20, 47722.857824
21, 47722.892046
22, 47722.925998
23, 47722.959318
24, 47722.992957
25, 47723.026137
26, 47723.059471
27, 47723.093451
28, 47723.126683
29, 47723.161074
30, 47723.194218
31, 47723.228727
32, 47723.260945
33, 47723.294386
34, 47723.329135
35, 47723.362427
36, 47723.395354
37, 47723.429620
38, 47723.463511
39, 47723.496164
40, 47723.529664
41, 47723.564921
42, 47723.597479
43, 47723.631182
44, 47723.664960
45, 47723.698414
46, 47723.731732
47, 47723.767102
48, 47723.798401
49, 47723.833349
50, 47723.865703
51, 47723.899567
52, 47723.933499
53, 47723.967493
54, 47724.000120
55, 47724.034285
56, 47724.069447
57, 47724.101134
58, 47724.134813
59, 47724.168491
60, 47724.205332
61, 47724.236158
62, 47724.269422
63, 47724.302555
64, 47724.336665
65, 47724.371341
66, 47724.404083
67, 47724.436815
68, 47724.470697
69, 47724.505346
70, 47724.538414
71, 47724.572835
72, 47724.606986
73, 47724.639561
74, 47724.672591
75, 47724.705459
76, 47724.739840
77, 47724.772932
78, 47724.805905
79, 47724.838800
80, 47724.872627
81, 47724.907247
82, 47724.940094
83, 47724.972405
84, 47725.006006
85, 47725.040142
86, 47725.073052
87, 47725.106594
88, 47725.139683
89, 47725.173407
90, 47725.205956
91, 47725.239978
92, 47725.273678
93, 47725.306179
94, 47725.339871
95, 47725.373310
96, 47725.406205
97, 47725.440444
98, 47725.472766
99, 47725.506076
100, 47725.539667
101, 47725.573341
102, 47725.606819
103, 47725.639927
104, 47725.674060
105, 47725.706392
106, 47725.740901
107, 47725.773125
108, 47725.808892
109, 47725.839432
110, 47725.872847
111, 47725.906649
112, 47725.939710
113, 47725.972972
114, 47726.006694
115, 47726.040201
116, 47726.073500
117, 47726.107049
118, 47726.141309
119, 47726.173265
120, 47726.206987
121, 47726.239867
122, 47726.273753
123, 47726.306608
124, 47726.340923
125, 47726.374648
126, 47726.407233
127, 47726.441060
128, 47726.475359
129, 47726.508889
130, 47726.541570
131, 47726.576381
132, 47726.609817
133, 47726.644728
134, 47726.676589
135, 47726.709848
136, 47726.744786
137, 47726.777027
138, 47726.810217
139, 47726.843817
140, 47726.878387
141, 47726.913750
142, 47726.947400
143, 47726.978720
144, 47727.012074
145, 47727.045729
146, 47727.078844
147, 47727.112960
148, 47727.146932
149, 47727.181490
