1, 47660.822458
2, 47660.843517
3, 47660.877648
4, 47660.910823
5, 47660.944429
6, 47660.978007
7, 47661.012523
8, 47661.045127
9, 47661.079630
10, 47661.112198
11, 47661.145912
12, 47661.179638
13, 47661.213728
14, 47661.246879
15, 47661.280260
16, 47661.314984
17, 47661.347829
18, 47661.381111
19, 47661.415613
20, 47661.448747
21, 47661.482734
22, 47661.516262
23, 47661.549029
24, 47661.584351
25, 47661.616597
26, 47661.650108
27, 47661.683674
28, 47661.717285
29, 47661.751137
30, 47661.784535
31, 47661.818825
32, 47661.852764
33, 47661.885479
34, 47661.919825
35, 47661.952797
36, 47661.987069
37, 47662.020058
38, 47662.054169
39, 47662.086850
40, 47662.120425
41, 47662.154118
42, 47662.187582
43, 47662.221317
44, 47662.254588
45, 47662.288233
46, 47662.321931
47, 47662.355476
48, 47662.389442
49, 47662.422482
50, 47662.456719
51, 47662.492729
52, 47662.523321
53, 47662.556867
54, 47662.591390
55, 47662.624184
56, 47662.659507
57, 47662.691477
58, 47662.725137
59, 47662.758718
60, 47662.792404
61, 47662.825827
62, 47662.859489
63, 47662.893051
64, 47662.926552
65, 47662.960175
66, 47662.993911
67, 47663.028448
68, 47663.062603
69, 47663.094614
70, 47663.128449
71, 47663.161702
72, 47663.196123
73, 47663.230170
74, 47663.263361
75, 47663.296108
76, 47663.329869
77, 47663.363710
78, 47663.397100
79, 47663.432180
80, 47663.465791
81, 47663.498047
82, 47663.532718
83, 47663.565127
84, 47663.598895
85, 47663.633374
86, 47663.665747
87, 47663.699927
88, 47663.733567
89, 47663.767308
90, 47663.800646
91, 47663.833730
92, 47663.868446
93, 47663.900832
94, 47663.934417
95, 47663.968285
96, 47664.002706
97, 47664.036958
98, 47664.069690
99, 47664.102395
100, 47664.136145
101, 47664.170044
102, 47664.204447
103, 47664.237491
104, 47664.270832
105, 47664.304038
106, 47664.338411
107, 47664.371374
108, 47664.405025
109, 47664.438385
110, 47664.472503
111, 47664.505709
112, 47664.539326
113, 47664.573952
114, 47664.607291
115, 47664.640010
116, 47664.673572
117, 47664.707456
118, 47664.741364
119, 47664.741674
120, 47664.774727
121, 47664.775057
122, 47664.808933
123, 47664.841841
124, 47664.876499
125, 47664.909542
126, 47664.942859
127, 47664.976178
128, 47665.009529
129, 47665.043441
